"Catalog_ID","Quantity","Name","Price","Brewery","Beer","ABV","IBU","Style","Sub.Style","Rating","Description","Last_Updated"
"ZPIDJ7JWUZPEKS4VG4X76B6M",1,"St Bernardus Abt 12 Big Fucking Mathusalem",300,"St Bernardus Abt 12 Big Fucking Mathusalem",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"TLYZMK7FWQEBWGDOL54ULBVH",2,"Great Divide Pack of Yetis Gift Box",25,"Great Divide Pack of Yetis Gift Box",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"DJM7ACVBC6A5KTQR44Y7J5VP",2,"Aslin Full Basic Dark Lager 16oz",3,"Aslin Full Basic Dark Lager 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"TGL24QCF6GFZC5SVAJ2G2QKD",2,"Lumberbeard Gin Barrel Aged Batch 1 16oz",5.5,"Lumberbeard Gin Barrel Aged Batch 1 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"KQIOO2RBMDTJFHO4I6DOCCU5",6,"2 Townes Pommeau Barrel Aged Apple Wine 375ml",23,"2 Townes Pommeau Barrel Aged Apple Wine 375ml",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"EJ7V3UXOAEEHO5HLNZOLKCXK",1,"Crux Shakeside Stout 16oz",4,"Crux Shakeside Stout 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"Q3AG63PENOM6Y4DKLTXE7GNG",2,"Varietal 1 In 8 Triumph Hops/Stand Fast/Rondi Ray Gun 16oz",4.25,"Varietal 1 In 8 Triumph Hops/Stand Fast/Rondi Ray Gun 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"QZKRZNPKPMURNXAFCTXYOSK5",2,"Cellarmaker Daphne Dry-hopped Blonde 16oz",4.25,"Cellarmaker Daphne Dry-hopped Blonde 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"WNNKJZ5MNAP656L5T2QPF7VU",3,"Oozlefinh Das Yummy Banana Sour 16oz",5,"Oozlefinh Das Yummy Banana Sour 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"WZDBDZMUJFVVNWRPSL7NXEIM",1,"Oozlefinch Chai Party Dinosaur 16iz",5,"Oozlefinch Chai Party Dinosaur 16iz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"BOZIYBDZKGKRBW7S77NN3BPN",2,"Aslin Volcano Sauce Blackberries & Blueberries 16oz",4.5,"Aslin Volcano Sauce Blackberries & Blueberries 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"S4FDOJX2DXRJ22R72MQEN7TA",4,"Aslin Stripes Neopolitan 16oz",8,"Aslin Stripes Neopolitan 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"JTH5QMDILE42LL6ISFM44ZCY",1,"Aslin Da Gens German Pilsner 16oz",3.25,"Aslin Da Gens German Pilsner 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"6VIIAQGPPZRF7K4BBR4QWLQ4",8,"Oregonic Tonic CBD White Peach",5,"Oregonic Tonic CBD White Peach",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"7IQW5YM73AMJBCETZRBSC25R",10,"Lionheart Raspberry Harvest",4,"Lionheart Raspberry Harvest",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"ZUFQIYGVYEBZZWLHM5ZJHCFU",1,"Guinness Imperial Gingerbread 11.2oz",5.5,"Guinness Imperial Gingerbread 11.2oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"D6EDRGERZ7MCAMJGUJCFCYEL",4,"deGarde The Frais Fresh Amarilo",18,"deGarde The Frais Fresh Amarilo",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"4AV62CLZW4RPFPAGOMBO3L55",23,"Adroit Theory Cure For Knowledge barleywine 16oz",5.5,"Adroit Theory Cure For Knowledge barleywine 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"KXPNK2YQAC35R3AWNSACTYZ6",3,"Chainline Cerne 19.2oz",3.5,"Chainline Cerne 19.2oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"BXRHCBIN6FLNP7UVBE5QDGU4",9,"Draper Freamquah/Buford 375/500ml",6,"Draper Freamquah/Buford 375/500ml",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"3TQPIB52HHVFSE2RUNB4WVVG",19,"Seek Out Hard Seltzer 12oz",2,"Seek Out Hard Seltzer 12oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"FDKWGAGPBYZ2YVBYWWTEZLDH",1,"Mikkeller SoCal Distancing NEIPA",4.25,"Mikkeller SoCal Distancing NEIPA",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"HPRCQWCDX72OTXRD7S7U74TW",1,"Mikkeller Run This Town Pils",3.25,"Mikkeller Run This Town Pils",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"6S754THVD5SEUWPLHBAFOBZR",10,"Breakside Distant Friends Sour",13.5,"Breakside Distant Friends Sour",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"2P6ED5ODGHE5JYUXIP46YK2P",19,"Water Avenue Top Shelf Cold Brew 12oz",4,"Water Avenue Top Shelf Cold Brew 12oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"TAGWYCRDNTLYWXOKQDQFSB3U",19,"Water Avenue Two Brew 12oz",4,"Water Avenue Two Brew 12oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"NEO2KAJWQFX6NFC3T4QNOXBK",19,"Water Avenue Cascara Soda 12oz",4,"Water Avenue Cascara Soda 12oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"MUWEOBTVEWGYJXUJDETYWCP3",3,"Hair of the Dog Don flip top",35,"Hair of the Dog Don flip top",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"QFPUUPJYVV3UISRWEVOUKZPM",2,"Alesmith Anvil of Hope 16oz",3.75,"Alesmith Anvil of Hope 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"EGFWGWOH7M6RSAHBH4NR6XV4",2,"Riestra Good Clean Funk Spanish Cider 12oz",4.75,"Riestra Good Clean Funk Spanish Cider 12oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"UXCDLGK6VQCA65TIIL5KWQ3D",4,"Cerebral Brain Wash Seltzer 16oz",4,"Cerebral Brain Wash Seltzer 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"NBU27VOXNS4E6IP5CMUYHZGJ",6,"Oregonic Tonic Lemon Honey Cayenne CBD",5,"Oregonic Tonic Lemon Honey Cayenne CBD",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"JMBEJEFSILAVAVBYPQJMOQ57",2,"Modern Times Mosaic Hedge Witch DIPA 16oz",5.25,"Modern Times Mosaic Hedge Witch DIPA 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"PRMMJBCK7FZC4WAGUX5JX2GM",3,"Trap Door DH Fizz Seltzer 12oz",3,"Trap Door DH Fizz Seltzer 12oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"VM7M4M5I5BV7DQYTGNO42RSR",1,"Cold Fire Brewing Lupulin Crush 16oz",3.75,"Cold Fire Brewing Lupulin Crush 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"3XHVYT4KDQIBQAFWCSUGSFHI",2,"Von Ebert Cascadia Reserve Lager 16oz",3,"Von Ebert Cascadia Reserve Lager 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"2ISML6CALVVLJPVWIM2M2JGO",1,"Freigeist Aufschneider Hoppy Hefe 16oz",3.5,"Freigeist Aufschneider Hoppy Hefe 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"R44B7DGHH3Q2L6EW53VGARJG",27,"Drift West cranberry Grape Water",4,"Drift West cranberry Grape Water",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"RUDDVI7NAKY32PMKKGBJVNK7",7,"Zoigl Swinging Star 19.2oz",3,"Zoigl Swinging Star 19.2oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"2TIPY52E2KYFH7VD7DFLDJXK",6,"Stormbreaker Figure it Out Stout 16oz",4,"Stormbreaker Figure it Out Stout 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"J436YV4EWRAYKQIYBAWXLBKO",2,"Rev Nat’s Valley of the Pear 6pk",16.5,"Rev Nat’s Valley of the Pear 6pk",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"2P2OVP5YGTAIPQXD2DXXXGBV",3,"Sierra Nevada Dankful Ipa 6 pk",13.5,"Sierra Nevada Dankful Ipa 6 pk",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"VOKALMMTB3GEFXLKQLF6LOFX",2,"Duchesse Petite 11.2oz Can",4,"Duchesse Petite 11.2oz Can",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"7557X4AHWME3VTMSWLFKL6XX",14,"Upper Left Original 12oz",4.25,"Upper Left Original 12oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"VU27PN7DFQX6GRSY3HWIAC4X",1,"Trap Door Hella Lager 12oz",3,"Trap Door Hella Lager 12oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"XY65FSODYDCRJK7BQSU7ILXP",13,"Upper Left Cacao Nib 12oz",4.25,"Upper Left Cacao Nib 12oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"YAUE5G23VGJOCWMF5TXKWQUX",6,"Tilquin Rulquin 750",27.5,"Tilquin Rulquin 750",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"ITBDW3TIAQARPTO7VAA2DNCA",17,"Slopeswell Heights Semi-Dry 12oz",2.5,"Slopeswell Heights Semi-Dry 12oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"STWW5AXTQUXRGPNINPIG4D24",7,"Pohjala Must Kuld 11.2oz",7,"Pohjala Must Kuld 11.2oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"V44V7W26R26ZLGRQVJJSB5TY",6,"Oskar Blues Ten Fidy 4pk",15,"Oskar Blues Ten Fidy 4pk",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"QCMGSBOQH7KS7AS2C73JJQ3O",2,"Guinness Bourbon Barrel Stout 11.2oz",5.5,"Guinness Bourbon Barrel Stout 11.2oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"FKTKRN5LP3X7WMF7MEAZSIWR",16,"Flensburger Winterbock 11.2oz",3.75,"Flensburger Winterbock 11.2oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"QYU27ODNOMIVHHJZB5PDWBBK",15,"Ex Novo Kill The Sun Variant 16oz",12.5,"Ex Novo Kill The Sun Variant 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"HYJGD6HVXH6GGKGC4F5FHWVH",12,"EPIC SOB COAVA",2.5,"EPIC SOB COAVA",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"B77XLHQKFUHLORZT2RZMQGMI",7,"Drift West Guava Mango Passionfruit 12oz",4,"Drift West Guava Mango Passionfruit 12oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"SMTXHCQ7WVNXOBMPAVYHUUDD",4,"Boon Oude Geuze Boon Gift Pack 2/375ml/Glass",30,"Boon Oude Geuze Boon Gift Pack 2/375ml/Glass",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"OFKO45HWWNEQKQKXG26EI52M",1,"Block 15 Fresh Catch-Amarillo 16oz",4.5,"Block 15 Fresh Catch-Amarillo 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"D7JIW2PAWZRT5RTSGJFSRQA6",18,"Ale Apothecary AP1000 16oz ",8,"Ale Apothecary AP1000 16oz ",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"RZLJMXNWHALKRR6N7WSC6U63",2,"Evil Twin Molotov Lite IIPA 16oz",3.75,"Evil Twin Molotov Lite IIPA 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"B7CHLXOAGXDHKBKSBBTKGLYX",9,"Oregonic Tonic CBD",5,"Oregonic Tonic CBD",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"KGMFPFEJIUNJS76U3MWOO7HJ",11,"Varietal Mirror Weedwolf Gloomtrance 16oz",5.5,"Varietal Mirror Weedwolf Gloomtrance 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"3BZB47APGZYCLRKU4CQJZQNF",1,"Modern Times Black House Vanilla Latte 19.2oz",5,"Modern Times Black House Vanilla Latte 19.2oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"3BGN6GNEBCYZREJFTAVI4X6S",11,"Foam Odd Pets Helles 16oz",3.25,"Foam Odd Pets Helles 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"7MIBWPORMOS2SLFYF5HFEC7Y",1,"Melvin Islands in the Dream Apricot Pale 16oz",4.25,"Melvin Islands in the Dream Apricot Pale 16oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"JYQHS5GDOCAGCURA4T4TBYYR",5,"Pono Pineapple Express 19.2oz",4,"Pono Pineapple Express 19.2oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"3DSC7Q6B5SBNNVRBCU5EASAP",1,"Von Ebert Eat Me Cake 16 Oz",3.75,"Von Ebert Eat Me Cake 16 Oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"MOR6JAPCC64YAZDU3QR7XP7G",10,"Ex Novo Triple down 16oz",4,"Ex Novo Brewing","Triple Down Economics",10,NA,"IPA","Triple","(4.21)","Ex Novo has brewed their 1000th batch of beer and we all win with their new IIIPA, Triple Down Economics. ","2020-12-28 12:52:43"
"MLF33MYVXOCCVZH7K7VIPKW2",2,"Reuben’s FH Crikey/Nordic Crush/ Hop Idol",4,"Reuben’s FH Crikey/Nordic Crush/ Hop Idol",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"SBIS3MSMIF4RRI2RR3ICJZPX",13,"Hair Of The Dog 2019 Doggy Claws 12oz",7,"Hair Of The Dog 2019 Doggy Claws 12oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"FLZLYDGP333SMBQXWLIQQP2P",33,"Boneyard CBD Lemon Ginger 12oz",4,"Boneyard CBD Lemon Ginger 12oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"65H5MTOT3UC5HTF6LFRV4SYW",1,"Springdale Geography Bee - Cranberry Honey 500ml",15,"Springdale Geography Bee - Cranberry Honey 500ml",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"5I6HZ3PWLVPSCVSI2RJH3OQ3",6,"Lagunitas Hop Water 12oz",2.5,"Lagunitas Hop Water 12oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"4RVIXKMZNBAQVDPWNBNJH63Y",6,"Dear Mom Sparkletown",4,"Dear Mom Sparkletown",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"K6ZHBL5BBJCQX2EPSD62OVMM",15,"Mckenzie CBD Root Beer",3.25,"Mckenzie CBD Root Beer",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"4DXMBITG3VIZHUTWPSLNTV3D",21,"Public Coast Root Beer",3,"Public Coast Root Beer",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"BL7PQAVD7V6L6SRXHF6LAKZG",9,"Lion Heart  Jazzberry",4,"Lion Heart  Jazzberry",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"YE5TVPZMNZV5EHRRCJMIJYUJ",9,"Crater Lake Root Beer 12oz",2,"Crater Lake Root Beer 12oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"C4WHTVS243L6ND4DJZTKJ2KJ",11,"Lion Heart Kombucha 16oz Ginger Fix",4,"Lion Heart Kombucha 16oz Ginger Fix",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"CYIXO3QDCHLPO4PWM3EQFZJY",12,"Dear Mom Oregon Red Wine 6oz",4,"Dear Mom Oregon Red Wine 6oz",NA,NA,NA,NA,NA,NA,NA,"2020-12-28 12:52:43"
"CFAIVLZE3D53N73KHNV5W3S2",24,"Single Hill Rocket Dreams",4.25,"Single Hill Brewing","Rocket Dreams",4.5,15,"Sour","Fruited Berliner Weisse","(N/A)","This Rocketship carries a payload of pomegranate & cranberries aboard a German-style wheat beer made sour by our house sourdough culture. Just enough fruit layered on a dry, lemony base. ","2020-12-25 12:38:24"
"S3AHISIKZPKIZXU2EAUFLEL3",23,"Beachwood Vanilla System of a Stout",6.5,"Beachwood Brewing","Vanilla System of A Stout",11.2,NA,"Stout","Imperial / Double","(4.27)","With vanilla ","2020-12-25 12:38:24"
"UTLWPZFS6TLDP452NIXMA344",19,"Beachwood Blendery Canbic 12oz",4.5,"Beachwood Blendery","Canbic",6.5,NA,"Lambic","Fruit","(4.01)","Lambic-inspired sour ale with raspberry, cherry, and meyer lemon zest. ","2020-12-25 12:38:24"
"RUNZKE2BCFJTRPUQYFOTNFAL",24,"Eagle Park DDH Demon Haze/Cobbler Ala 16oz",5.5,"Eagle Park Brewing Company","Double Dry Hopped Demon Haze",7,NA,"IPA","New England","(4.28)","A double dry hopped version of our hazy New England style IPA brewed with Mosaic, Idaho 7, and El Dorado hops. Strong aromas of pineapple, citrus, and pine complemented by subtle bitterness and clean finish. ","2020-12-25 12:38:24"
"N2IMQAVY6VDP5V4CTE6Z73CQ",7,"Logsdon Alpha Acid IPA",4,"Logsdon Farmhouse Ales","Alpha Acid Test Mosaic IPA",6.5,NA,"IPA","American","(N/A)","","2020-12-25 12:38:24"
"6VHVEMN7QM7CESLMLY2NZC6H",24,"Grains Of Wrath Paper Maker 16oz",3.25,"Grains of Wrath ","Papermaker Pale",5.8,NA,"Pale Ale","American","(3.83)","Light Biscuit Malt, Grapefruit, Pineapple, Balanced bitterness. ","2020-12-25 12:38:24"
"5PNO5S7O62DPPUDWS64E5LXC",24,"Culmination 4 and 20/Skeleton Crew 16oz",4,"Culmination Brewing Company","4 & 20",9.5,64,"IPA","Imperial / Double Black","(3.91)","Chinook, Simcoe Cascade and Amarillo hops highlight a dry, hop-forward body with a subdued roast and caramel character. ","2020-12-25 12:38:24"
"WLKKGG67LIKWQWCHGID2RZIZ",23,"Ex Novo Kill The Sun 16oz",11,"Ex Novo Brewing","Kill the Sun",12.5,NA,"Stout","Russian Imperial","(4.09)","Bourbon BBL Aged Stout releases annually during winter. ","2020-12-25 12:38:24"
"3HACLQNLA4RWR3VHL4DLNQ7O",24,"Athletic Free Wave 12oz",2,"Athletic Brewing Company","Free Wave Double Hop IPA",0.4,55,NA,"Non-Alcoholic Beer","(3.7)","Our Free Wave Double Hop IPA is meant for the open road. Whether you’re cruising the Pacific Coast Highway in a convertible or tracing your way up the coast on your bike, our Free Wave doesn’t cut corners. This mouth watering IPA is loaded with Amarillo, Citra, and Mosaic hops. You’ll want to grab a few for the road! ","2020-12-24 12:45:33"
"ZVRC3VNKMIA3V2P3IJKWYECN",24,"Root beer",2,"Small Town Brewery","Not Your Father's Root Beer (5.9%)",5.9,NA,NA,"Root Beer","(3.99)","Not Your Father’s Root Beer is a category-defining craft specialty ale brewed with unique spices. Brewer Tim Kovac’s creativity and painstaking commitment to flavor complexity results in an unmistakable offering that masterfully blends hints of sarsaparilla, wintergreen, anise, and vanilla. A smooth and balanced Ale, NYFRB has broad appeal – from discerning craft beer drinkers to non-beer drinkers. ","2020-12-24 12:45:33"
"ICT4K7QPNACZWIN37W34IVPN",24,"Boneyard Black is Beautiful",4,"Boneyard Beer ","Black Is Beautiful",9,NA,"Stout","Imperial / Double","(N/A)","To benefit the Central Oregon Black Leaders Assembly - brewed to support Justice and Equality for People of Color. Hosted by Weathered Souls Brewing Co. ","2020-12-24 12:45:33"
"BWBZE325FRTEG6U7H2YKNHAE",22,"New Image Home For Pit-mass",5,"New Image Brewing","Home For Pit-mas",9.5,15,"IPA","Imperial / Double New England","(4.29)","Benefit beer collab with our friends at the Dumb Friends League to raise money to help support their efforts to find homes for animals. ","2020-12-24 12:45:33"
"O6ZOOOGMFSHE5Z5GWQI6M6KS",23,"New Image Happy New Year",6,"New Image Brewing","...and A Happy New Year",11.5,25,"IPA","Triple New England","(4.5)","Quadruple dry-hopped triple IPA with Simcoe, Strata, and Idaho 7 ","2020-12-24 12:45:33"
"PDXJS3HFJRVGFXH5JPSLWAFK",20,"Sasquatch Deeply Unserious 16oz",4.5,"Sasquatch Brewing Company","Deeply Unserious",8.4,NA,"Sour","Fruited","(3.68)","Deeply Unserious is a winter wonderland of flavor, this blackberry cobbler inspired tart ale is like dessert in a glass, with just enough tartness to compliment the sweetness of the blackberries ","2020-12-24 12:45:33"
"LNZMEHHQBF3CH2ZJQIL37RBO",24,"Sasquatch Kiss and Make Up 16oz",4.5,"Sasquatch Brewing Company","Kiss And Make Up",10.6,NA,"Stout","Imperial / Double","(N/A)","Imperial stout with peanut butterand fudge brownies ","2020-12-24 12:45:33"
"ZOLE5ODGGDN6YRP2HVZHFB3Q",8,"Ecplipse Fifty Fifty French Toast 500ml",19.75,"FiftyFifty Brewing Co.","Eclipse French Toast (2020)",12.6,NA,"Stout","Imperial / Double Pastry","(4.55)","Brewed with maple syrup, cinnamon, vanilla and lactose. Aged in bourbon barrels. ","2020-12-24 12:45:33"
"QDM4IAOZ4GDEWU7HCIHFVRLH",11,"Eclipse Fifty Fifty German Chocolate 500ml",19.75,"FiftyFifty Brewing Co.","Eclipse German Chocolate Cake (2020)",11,NA,"Stout","Imperial / Double","(N/A)","Imperial Stout brewed with Coconut, Vanilla, and Cocoa. Aged in Bourbon Barrels. ","2020-12-24 12:45:33"
